ClusterID,NumPixel,AvgSimilarity, AvgR,AvgG,AvgB
1157,5,0.4989,115,155,78
1158,3,0.4847,129,162,108
1160,5,0.7331,182,128,134
1162,3,0.9803,129,66,66
1164,0,0.0000,0,0,0
1165,8,0.7015,138,73,79
1166,4,0.3245,142,91,90
1168,0,0.0000,0,0,0
1169,4,0.6481,148,76,69
1171,0,0.0000,0,0,0
1172,4,0.9688,159,175,131
1173,2,0.0000,154,174,123
1174,12,0.9860,137,168,107
1175,2,0.9675,148,177,129
1176,314,0.9778,152,111,108
1177,5,0.9886,141,77,76
1178,5,0.7397,137,80,82
1180,2,0.9891,156,91,101
1181,2,0.9678,138,100,98
1190,32,0.9497,147,174,123
1191,0,0.0000,0,0,0
1192,2,0.9881,109,157,74
1193,5,0.9820,125,172,90
1195,2,0.9667,158,181,152
1197,3,0.4825,198,211,191
1198,5,0.9946,216,187,192
1201,6,0.5881,197,148,156
1202,3,0.4832,181,149,139
1203,14,0.8329,142,171,115
1204,2,0.0000,129,176,95
1205,0,0.0000,0,0,0
1210,4,0.0000,171,191,164
1212,3,0.5000,200,165,171
1213,2,1.0000,185,148,155
1214,2,1.0000,178,132,137
1215,3,0.5000,172,126,131
1216,2,0.9957,121,170,86
1217,3,0.0000,151,175,143
1223,0,0.0000,0,0,0
1225,3,0.9805,171,132,135
1227,2,0.0000,143,170,132
1229,2,0.0000,177,193,168
1230,3,0.0000,190,201,181
1231,2,0.9651,201,173,179
1233,2,0.0000,136,166,125
1235,3,0.4817,175,192,163
1236,4,0.9949,194,203,181
1237,5,0.7277,168,136,138
1238,3,0.4804,129,164,108
1239,3,0.4845,133,165,117
1241,2,0.0000,162,185,148
1242,2,0.0000,149,177,132
1243,4,0.9792,170,191,151
1244,70,0.9841,159,131,119
1249,4,0.9750,130,167,100
1251,0,0.0000,0,0,0
1252,4,0.6632,154,183,127
1253,3,0.5000,161,188,139
1255,2,0.0000,156,130,110
1256,3,0.9852,134,173,101
1257,6,0.2000,143,176,114
1258,5,0.9738,176,191,168
1259,4,0.9803,164,141,141
1261,3,0.4817,164,186,150
1263,2,1.0000,168,187,166
1264,4,0.6472,134,167,107
1267,2,0.9639,152,179,133
1268,2,0.9741,153,175,144
1269,2,1.0000,160,180,155
1271,3,0.9656,128,164,97
1272,2,0.9931,132,168,100
1273,3,0.9667,130,168,103
1275,2,0.9691,139,165,123
1276,2,1.0000,144,168,133
1279,3,1.0000,145,120,107
1280,3,0.5000,134,168,114
1281,9,0.9854,152,182,153
1282,4,0.9935,166,150,144
1283,5,0.9840,161,143,137
1284,7,0.6578,142,122,108
1285,5,0.9700,149,123,105
1288,9,0.9877,124,169,100
1289,16,0.9798,147,177,141
1290,2,1.0000,153,133,122
1291,2,1.0000,150,130,119
1292,2,1.0000,133,114,101
1293,3,0.9890,146,124,103
1295,0,0.0000,0,0,0
1296,4,0.6603,153,129,104
1297,2,0.9699,150,124,99
1298,5,0.7384,148,122,96
1299,2,0.9786,154,124,91
1301,2,0.0000,158,123,96
1303,14,0.9064,155,132,117
1306,9,0.9895,126,171,99
1308,15,0.9818,136,172,122
1310,3,0.5000,159,141,134
1311,2,1.0000,137,118,104
1312,4,0.6539,132,113,99
1314,2,0.9616,143,122,100
1315,3,0.9838,140,119,95
1317,2,0.0000,145,123,100
1320,3,0.9862,142,116,89
1322,3,0.4837,145,116,86
1324,0,0.0000,0,0,0
1325,3,0.0000,152,117,91
1326,12,0.9823,151,128,114
1327,7,0.9830,121,167,94
1328,2,0.9691,163,140,137
1329,4,0.6457,159,135,131
1330,3,0.9675,156,133,128
1331,5,0.9808,152,132,126
1332,5,0.9919,153,133,124
1333,4,0.6570,147,126,115
1335,0,0.0000,0,0,0
1336,3,0.9811,128,109,94
1337,5,0.9749,133,113,88
1338,2,0.9643,137,115,90
1340,3,0.5000,145,121,95
1342,0,0.0000,0,0,0
1343,6,0.5900,134,108,80
1344,5,0.7405,135,106,78
1345,3,0.9902,138,107,81
1346,2,1.0000,142,109,84
1347,5,0.4886,144,113,93
1348,5,0.7346,147,117,101
1349,4,0.3251,148,117,103
1351,7,0.9842,149,129,121
1352,2,1.0000,147,125,114
1353,2,1.0000,152,130,119
1356,3,0.4922,136,114,100
1359,6,0.5935,126,105,88
1361,7,0.9928,128,107,81
1362,5,0.4959,133,109,80
1366,7,0.8260,120,95,64
1367,5,0.7278,126,100,68
1368,5,0.7299,167,137,133
1372,6,0.5895,143,121,112
1374,2,1.0000,138,114,102
1375,2,1.0000,144,121,107
1376,2,0.0000,139,117,103
1378,4,0.6568,128,105,89
1379,9,0.9880,120,98,77
1380,2,1.0000,121,102,72
1381,2,0.9737,123,104,74
1382,3,0.9954,126,105,74
1383,3,0.4953,127,104,72
1386,2,0.0000,119,94,63
1387,7,0.8231,111,87,54
1390,3,0.9816,170,139,136
1391,3,0.9858,162,131,128
1392,3,0.9702,157,127,123
1393,5,0.2438,148,122,116
1398,6,0.5928,134,111,100
1400,5,0.9842,128,105,89
1402,2,0.0000,123,100,82
1403,7,0.9845,120,96,75
1404,3,0.9815,114,91,69
1405,3,0.9930,120,97,73
1406,5,0.2455,113,93,62
1408,5,0.4941,119,99,67
1412,0,0.0000,0,0,0
1413,3,0.0000,114,91,57
1414,25,0.9819,108,78,48
1415,4,0.6590,115,90,58
1417,4,0.3246,129,103,78
1420,3,0.4910,143,124,109
1421,12,0.9909,152,122,113
1422,2,1.0000,147,117,110
1423,8,0.9809,145,118,106
1424,7,0.8210,139,112,101
1426,7,0.9844,132,104,93
1427,9,0.8645,124,99,86
1429,3,0.4977,117,91,74
1430,6,0.7979,116,92,67
1433,2,1.0000,107,88,55
1434,3,0.5000,112,92,59
1437,2,0.0000,110,89,54
1439,0,0.0000,0,0,0
1440,1142,0.9761,96,74,49
1445,168,0.9678,115,92,75
1447,16,0.8524,110,86,65
1448,5,0.7423,117,92,70
1451,3,0.9957,110,86,60
1453,223,0.9653,98,79,54
1455,3,0.5000,106,87,52
1458,5,0.2500,104,83,46
1459,2,1.0000,107,82,52
1465,24,0.9899,173,188,180
1466,2,1.0000,166,143,141
1467,6,0.9842,164,141,139
1468,6,0.9904,160,133,131
1469,2,1.0000,155,124,115
1470,9,0.8692,119,95,76
1474,5,0.7278,125,102,80
1475,6,0.3960,132,111,91
1476,3,0.5000,136,119,103
1477,3,0.5000,137,122,106
1479,5,0.9656,133,173,111
1481,2,0.9806,128,167,105
1482,6,0.9786,122,99,81
1483,4,0.9865,109,87,67
1484,2,1.0000,104,82,62
1486,2,0.0000,118,94,68
1488,2,0.9746,129,170,105
1489,3,0.4886,121,163,92
1490,5,0.7444,158,132,131
1491,3,0.9828,131,104,90
1492,5,0.4911,113,83,58
1493,4,0.3333,120,93,70
1496,2,0.0000,151,147,131
1497,3,0.9866,132,168,109
1498,2,0.9989,149,122,107
1499,7,0.8140,127,104,85
1500,2,1.0000,105,85,62
1502,2,0.0000,141,127,111
1504,4,0.9722,138,175,122
1505,2,0.9924,123,163,100
1506,2,1.0000,137,113,95
1507,5,0.9871,106,93,62
1508,7,0.9841,108,89,58
1509,2,1.0000,103,83,51
1513,4,0.0000,148,129,112
1514,3,0.9742,154,137,122
1516,3,0.9799,117,156,93
1517,14,0.9888,107,83,61
1519,5,0.0000,105,94,67
1520,33,0.9866,108,98,67
1521,2,1.0000,107,68,43
1524,0,0.0000,0,0,0
1526,4,0.6532,161,139,127
1527,3,0.4905,164,156,143
1528,3,0.4962,134,171,120
1529,2,0.9671,125,163,107
1530,2,0.9732,134,169,113
1531,2,1.0000,163,139,137
1533,8,0.4243,155,129,126
1534,2,0.9607,139,118,98
1535,2,0.9850,135,114,94
1539,2,1.0000,106,85,55
1541,3,0.0000,140,113,95
1543,5,0.7344,165,139,130
1548,3,0.5000,102,93,66
1552,4,0.6667,112,103,74
1553,3,0.9904,106,71,47
1554,2,0.0000,128,92,70
1556,3,0.4857,158,124,112
1557,3,0.9890,169,145,141
1558,9,0.9855,150,172,135
1562,2,0.9783,117,154,86
1563,8,0.9888,129,169,110
1564,8,0.9868,137,171,125
1565,8,0.9918,149,177,144
1566,16,0.9937,164,184,167
1567,2,0.9857,183,164,166
1570,2,1.0000,146,118,115
1571,3,0.9739,146,114,97
1574,3,0.5000,107,98,70
1575,2,1.0000,113,105,76
1576,6,0.9802,118,109,80
1577,3,0.9914,119,112,80
1578,3,0.9922,118,110,77
1581,4,0.0000,147,109,93
1583,24,0.9405,148,165,132
1585,0,0.0000,0,0,0
1586,2,0.0000,123,157,98
1587,3,0.0000,180,159,158
1588,0,0.0000,0,0,0
1589,4,0.3333,138,105,88
1590,2,1.0000,125,93,76
1591,12,1.0000,121,112,81
1592,7,0.9925,107,88,57
1593,3,0.9980,113,77,54
1594,2,0.0000,127,86,68
1597,8,0.8469,144,166,124
1598,9,0.7385,135,162,112
1599,7,0.9877,130,158,100
1600,11,0.8864,123,153,88
1602,4,0.0000,173,149,147
1606,5,0.9892,118,108,79
1607,3,0.9794,118,82,59
1614,0,0.0000,0,0,0
1617,2,0.9748,132,95,80
1618,14,0.9827,112,81,65
1619,6,0.9832,109,96,70
1620,5,0.7435,114,103,76
1622,2,0.0000,133,92,74
1625,2,0.0000,173,138,130
1628,2,0.0000,164,138,134
1629,0,0.0000,0,0,0
1631,6,0.9697,108,83,60
1632,2,1.0000,106,94,68
1633,2,0.9835,118,107,79
1634,3,0.4920,117,106,75
1635,5,0.9927,107,95,64
1637,2,0.9830,118,85,61
1638,0,0.0000,0,0,0
1640,0,0.0000,0,0,0
1642,0,0.0000,0,0,0
1644,2,0.0000,170,143,141
1646,3,0.0000,154,116,103
1647,2,0.9832,114,101,74
1648,4,0.9930,115,101,73
1651,5,0.4884,141,103,85
1652,0,0.0000,0,0,0
1653,5,0.4859,166,130,116
1654,4,0.3227,190,166,167
1655,0,0.0000,0,0,0
1658,0,0.0000,0,0,0
1660,3,0.4965,115,99,73
1661,2,0.9900,117,103,75
1662,2,1.0000,107,89,61
